t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
166.1,26,1,1,0,98.05373878,0.617306082,0.193168346,23.73333333,0
166.12,26,1,1,0,98.04975075,0.617246261,0.094883723,23.06666603,0
166.14,26,1,1,0,98.04576271,0.617186441,0.072615306,23,0
166.16,26,1,1,0,98.04177467,0.61712662,0.119529786,23,0
166.18,26,1,1,0,98.03778664,0.6170668,0.169828196,23,0
166.2,26,1,1,0,98.0337986,0.617006979,0.310572745,23,0
166.22,26,1,1,0,98.02981057,0.616947158,0.237935271,23.26666836,0
166.24,26,1,1,0,98.02582253,0.616887338,0.138685841,23.93333037,0
166.26,26,1,1,0,98.02183449,0.616827517,0.148418954,19.80002003,0
166.28,26,1,1,0,98.01784646,0.616767697,0.190922979,21.57139402,0
166.3,26,1,1,0,98.01385842,0.616707876,0.153802088,32.99998533,0
166.32,26,1,1,0,98.00987039,0.616648056,0.245730337,44.42857664,0
166.34,26,1,1,0,98.00588235,0.616588235,0.196972419,55.85716795,0
166.36,26,1,1,0,98.00189432,0.616528415,0.175619125,67.28575926,0
166.38,26,1,1,0,97.99790628,0.616468594,0.29372358,55.96664169,0
166.4,26,1,1,0,97.99391824,0.616408774,0.252609734,40.63335466,0
166.42,26,1,1,0,97.98993021,0.616348953,0.129562413,25.30006763,0
166.44,26,1,1,0,97.98594217,0.616289133,0.178011475,33.19995136,0
166.46,26,1,1,0,97.98195414,0.616229312,0.139414777,36.80003719,0
166.48,26,1,1,0,97.9779661,0.616169492,0.242789398,24.80002575,0
166.5,26,1,1,0,97.97397807,0.616109671,0.161972044,23,0
166.52,26,1,1,0,97.96999003,0.61604985,0.190739237,23,0
166.54,26,1,1,0,97.96600199,0.61599003,0.265126365,23,0
166.56,26,1,1,0,97.96201396,0.615930209,0.192020622,23,0
166.58,26,1,1,0,97.95802592,0.615870389,0.164215996,23,0
166.6,26,1,1,0,97.95403789,0.615810568,0.121628424,23,0
166.62,26,1,1,0,97.95004985,0.615750748,0.313393028,23,0
166.64,26,1,1,0,97.94606181,0.615690927,0.308556758,21.59998919,0
166.66,26,1,1,0,97.94207378,0.615631107,0.181318088,17.60001717,0
166.68,26,1,1,0,97.93808574,0.615571286,0.163967027,20.29031264,0
166.7,26,1,1,0,97.93409771,0.615511466,0.192060429,23,0
166.72,26,1,1,0,97.93010967,0.615451645,0.081212514,23,0
166.74,26,1,1,0,97.92612164,0.615391825,0.098651177,23,0
166.76,26,1,1,0,97.9221336,0.615332004,0.10918424,23,0
166.78,26,1,1,0,97.91814556,0.615272183,0.118454489,23,0
166.8,26,1,1,0,97.91415753,0.615212363,0.142437004,23,0
166.82,26,1,1,0,97.91016949,0.615152542,0.103396144,21.79998665,0
166.84,26,1,1,0,97.90618146,0.615092722,0.153502285,17.80001462,0
166.86,26,1,1,0,97.90219342,0.615032901,0.119875269,20.73331331,0
166.88,26,1,1,0,97.89818548,0.614981855,0.126922551,23.60000445,0
166.9,26,1,1,0,97.89415323,0.614941532,0.063924318,22.26666985,0
166.92,26,1,1,0,97.89012097,0.61490121,0.111914995,22.53333238,0
166.94,26,1,1,0,97.88608871,0.614860887,0.156815549,23,0
166.96,26,1,1,0,97.88205645,0.614820565,0.139184357,23,0
166.98,26,1,1,0,97.8780242,0.614780242,0.097108987,23,0
167,26,1,1,0,97.87399194,0.614739919,0.13000269,23,0
167.02,26,1,1,0.06,97.86995968,0.614699597,0.154805731,23,0
167.04,26,1,1,0.12,97.86592742,0.614659274,0.146902309,20.00001621,0
167.06,26,1,1,0.18,97.86189517,0.614618952,0.1833876,17.9999876,0
167.08,26,1,1,0.24,97.85786291,0.614578629,0.214296205,21.99999142,0
167.1,26,1,1,0.3,97.85383065,0.614538307,0.120650908,23,0
167.12,26,1,1,0.36,97.84979839,0.614497984,0.123657989,23,0
167.14,26,1,1,0.42,97.84576614,0.614457661,0.108538184,23,0
167.16,26,1,1,0.48,97.84173388,0.614417339,0.132872514,28.50001224,0
